timestamp,vehicleId,towerId,masterId,candidateMasterId,signalQuality,masterRssi,candidateMasterRssi,hysteresisTh,handover,throughput,towerLoad,masterLoad,distance,masterDistance,vehiclePosX,vehiclePosY,towerPosX,towerPosY,masterPosX,masterPosY,vehicleSpeed,vehicleDirection,numVehicles
0.5,2065,1,1,1,29.8193,29.8193,29.8193,-2.01807,NO,2838.02,1,1,971.472,0,1571.61,1597.49,834,1041,834,1041,0,1,1
0.5,2067,2,2,2,31.7796,31.7796,31.7796,-1.82204,NO,2666.59,1,1,655.865,0,2650.52,1717.39,2496,1155,2496,1155,0.338914,1,2
0.5,2075,2,2,2,34.737,34.737,34.737,-1.5263,NO,4888.67,2,2,383.67,0,2461.52,1391.67,2496,1155,2496,1155,3.32974,1,3
0.5,2070,3,3,3,35.8649,35.8649,35.8649,-1.41351,NO,4888.64,1,1,865.002,0,3496.78,1310.76,4293,1155,4293,1155,47.0175,1,4
0.5,2073,3,3,3,15.9026,15.9026,15.9026,-3.40974,NO,2818.97,2,2,677.685,0,3728.55,1380.06,4293,1155,4293,1155,60.5999,1,5
0.5,2050,4,4,4,28.9441,28.9441,28.9441,-2.10559,NO,4962.72,1,1,338.296,0,578.71,2407.14,734,2389,734,2389,32.3732,1,6
0.5,2062,4,4,4,39.3246,39.3246,39.3246,-1.06754,NO,2838,2,2,505.263,0,1003.6,2084.68,734,2389,734,2389,3.47259,1,7
0.5,2066,4,4,4,27.1145,27.1145,27.1145,-2.28855,NO,4944.05,3,3,681.21,0,1059.72,2906.64,734,2389,734,2389,0.741327,1,8
0.5,2054,5,8,5,31.6224,21.6721,31.6224,-1.83776,ho to5,2793.54,0,1,850.775,0,2823.51,2813.99,2225,2289,2391,3372,2.10792,1,9
0.5,2057,5,5,5,33.2816,33.2816,33.2816,-1.67184,NO,2833.36,1,1,556.595,0,2683.49,2191.11,2225,2289,2225,2289,12.5099,1,10
0.5,2060,5,6,6,29.1022,36.7385,36.7385,0,NO,4943.96,1,1,923.15,0,3093.14,2196.62,2225,2289,3566,2389,1.96967,1,11
0.5,2061,5,5,5,38.0166,38.0166,38.0166,-1.19834,NO,4944.16,2,2,421.749,0,2245.89,2584.7,2225,2289,2225,2289,2.06613,1,12
0.5,2063,5,6,5,24.3502,21.5651,24.3502,-2.56498,ho to5,2837.95,2,2,935.666,0,3111.19,2300.9,2225,2289,3566,2389,2.42838,1,13
0.5,2064,5,8,8,26.0181,31.4485,31.4485,0,NO,2837.9,2,2,978.547,0,1824.68,3130.01,2225,2289,2391,3372,2.16584,1,14
0.5,2065,5,1,5,30.566,29.8193,30.566,-1.9434,ho to5,2838.02,2,1,997.545,0,1571.61,1597.49,2225,2289,834,1041,2.43527,1,14
0.5,2067,5,2,2,27.2823,31.7796,31.7796,-1.82204,NO,2666.59,2,2,773.182,0,2650.52,1717.39,2225,2289,2496,1155,0.523776,1,14
0.5,2075,5,2,2,17.6534,34.737,34.737,-1.5263,NO,4888.67,2,2,975.263,0,2461.52,1391.67,2225,2289,2496,1155,3.43489,1,14
0.5,2076,5,5,5,37.9364,37.9364,37.9364,-1.20636,NO,2666.59,3,3,459.353,0,2561.91,2375.57,2225,2289,2225,2289,49.7833,1,15
0.5,2078,5,5,5,23.0118,23.0118,23.0118,-2.69882,NO,2818.92,4,4,592.887,0,2725.77,2185.34,2225,2289,2225,2289,11.2253,1,16
0.5,2079,5,5,5,41.4883,41.4883,41.4883,-0.851167,NO,4888.44,5,5,310.077,0,2301.88,2304.4,2225,2289,2225,2289,49.3991,1,17
0.5,2049,6,8,6,26.8898,12.2694,26.8898,-2.31102,ho to6,2847.52,2,3,987.979,0,2919.19,3072.91,3566,2389,2391,3372,53.7238,1,18
0.5,2051,6,6,6,34.8475,34.8475,34.8475,-1.51525,NO,4962.66,3,3,487.117,0,3300.36,2112.01,3566,2389,3566,2389,0.102169,1,19
0.5,2053,6,10,10,23.6154,24.6551,24.6551,0,NO,2844.32,3,1,945.891,0,3866,3234.41,3566,2389,4393,2995,2.69602,1,20
0.5,2054,6,8,6,31.5211,21.6721,31.5211,-1.84789,ho to6,2793.54,3,3,906.593,0,2823.51,2813.99,3566,2389,2391,3372,3.12682,1,20
0.5,2055,6,6,6,51.1195,51.1195,51.1195,0.111948,NO,4962.55,4,4,361.436,0,3570.66,2187.47,3566,2389,3566,2389,12.8089,1,21
0.5,2056,6,6,6,28.4397,28.4397,28.4397,-2.15603,NO,2844.34,5,5,652.972,0,3243.27,2870.89,3566,2389,3566,2389,177.786,1,22
0.5,2057,6,5,5,26.2419,33.2816,33.2816,-1.67184,NO,2833.36,5,5,952.879,0,2683.49,2191.11,3566,2389,2225,2289,2.62042,1,22
0.5,2060,6,6,6,38.865,38.865,38.865,-1.1135,NO,4943.96,5,5,592.117,0,3093.14,2196.62,3566,2389,3566,2389,3.93934,1,22
